id_autor,id_documento,id_principal,nome,tipo_autor,uri_autor,casa,partido,uf,cod_tipo_autor
73943,2263461,2263461,Perpétua Almeida,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/73943,camara,PCdoB,AC,10000
74052,2228169,2192045,Bosco Costa,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74052,camara,PL,SE,10000
74052,2222400,2192045,Bosco Costa,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74052,camara,PL,SE,10000
74052,2233874,2192045,Bosco Costa,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74052,camara,PL,SE,10000
74052,2222398,2192045,Bosco Costa,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74052,camara,PL,SE,10000
74052,2228166,2192045,Bosco Costa,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74052,camara,PL,SE,10000
74052,2233875,2192045,Bosco Costa,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74052,camara,PL,SE,10000
74057,2263461,2263461,Alice Portugal,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74057,camara,PCdoB,BA,10000
74057,2263471,2263461,Alice Portugal,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74057,camara,PCdoB,BA,10000
74075,2192507,2192507,Elcione Barbalho,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74075,camara,MDB,PA,10000
74156,2263599,2263453,Leonardo Monteiro,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74156,camara,PT,MG,10000
74156,2263453,2263453,Leonardo Monteiro,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74156,camara,PT,MG,10000
74160,2263599,2263453,Patrus Ananias,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74160,camara,PT,MG,10000
74160,2263453,2263453,Patrus Ananias,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74160,camara,PT,MG,10000
74209,2233912,2225989,Roberto Rocha,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74209,camara,PSDB,MA,10000
74283,2263453,2263453,Vicentinho,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74283,camara,PT,SP,10000
74283,2263599,2263453,Vicentinho,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74283,camara,PT,SP,10000
74356,2214203,2214203,Silas Câmara,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74356,camara,PRB,AM,10000
74363,2233910,2225989,Marcio Bittar,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74363,camara,PSDB,AC,10000
74363,2233911,2225989,Marcio Bittar,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74363,camara,PSDB,AC,10000
74363,2233909,2225989,Marcio Bittar,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74363,camara,PSDB,AC,10000
74371,2263599,2263453,Rubens Otoni,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74371,camara,PT,GO,10000
74371,2263453,2263453,Rubens Otoni,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74371,camara,PT,GO,10000
74376,2263453,2263453,Vander Loubet,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/74376,camara,PT,MS,10000
