id_entidade,id_entidade_parlametria,casa,nome,sexo,partido,uf,situacao,em_exercicio,is_parlamentar,governismo,assinadas,autorias_ponderadas
178858,1178858,camara,Mário Negromonte Jr.,M,PP,BA,Titular,1,1,3.341489624648835,0,0
178843,1178843,camara,Marx Beltrão,M,PSD,AL,Titular,1,1,4.889703892554786,0,0
188097,1188097,camara,Merlong Solano,M,PT,PI,Efetivado,1,1,-5.474095797157822,2,0.04195804195804196
178985,1178985,camara,Miguel Lombardi,M,PL,SP,Titular,1,1,3.8518456847129805,0,0
178895,1178895,camara,Misael Varella,M,PSD,MG,Titular,1,1,4.332893002668525,0,0
178997,1178997,camara,Moses Rodrigues,M,MDB,CE,Titular,1,1,4.006297557652061,0,0
178896,1178896,camara,Newton Cardoso Jr,M,MDB,MG,Titular,1,1,4.372555358667254,0,0
178986,1178986,camara,Nilto Tatto,M,PT,SP,Titular,1,1,-7.04428740843443,20,7.627658509884676
194260,1194260,camara,Nivaldo Albuquerque,M,PTB,AL,Titular,1,1,4.47173302679203,0,0
66179,166179,camara,Norma Ayub,F,DEM,ES,Titular,1,1,3.7344647918025338,0,0
178987,1178987,camara,Orlando Silva,M,PCdoB,SP,Titular,1,1,-1.6512291658071856,0,0
178860,1178860,camara,Paulo Azi,M,DEM,BA,Titular,1,1,4.422213143339286,0,0
193726,1193726,camara,Paulo Eduardo Martins,M,PSC,PR,Titular,1,1,6.406915106462193,0,0
178912,1178912,camara,Pedro Cunha Lima,M,PSDB,PB,Titular,1,1,3.2981519410567994,0,0
178951,1178951,camara,Rafael Motta,M,PSB,RN,Titular,1,1,-1.1583395868860116,3,0.13711433756805808
178925,1178925,camara,Rejane Dias,F,PT,PI,Titular,1,1,-3.5717809483454133,1,0.019230769230769232
178920,1178920,camara,Ricardo Teobaldo,M,PODE,PE,Titular,1,1,3.740740079862455,0,0
178861,1178861,camara,Ronaldo Carletto,M,PP,BA,Titular,1,1,7.895257006666089,0,0
178945,1178945,camara,Rosangela Gomes,F,REPUBLICANOS,RJ,Titular,1,1,4.57065767990564,0,0
178990,1178990,camara,Samuel Moreira,M,PSDB,SP,Titular,1,1,3.776865660959306,0,0
178921,1178921,camara,Sebastião Oliveira,M,PL,PE,Titular,1,1,5.893061376017101,0,0
178933,1178933,camara,Sergio Souza,M,MDB,PR,Titular,1,1,4.983428243503589,0,0
178874,1178874,camara,Sergio Vidigal,M,PDT,ES,Titular,1,1,-1.100425095966843,0,0
178961,1178961,camara,Shéridan,F,PSDB,RR,Titular,1,1,3.0173368282067123,0,0
178946,1178946,camara,Soraya Santos,F,PL,RJ,Titular,1,1,4.861894891731161,0,0
178947,1178947,camara,Sóstenes Cavalcante,M,DEM,RJ,Titular,1,1,4.714451165974241,0,0
178922,1178922,camara,Tadeu Alencar,M,PSB,PE,Titular,1,1,-1.6651081561358048,3,0.13711433756805808
178934,1178934,camara,Toninho Wandscheer,M,PROS,PR,Titular,1,1,5.044254235888779,0,0
178863,1178863,camara,Uldurico Junior,M,PROS,BA,Titular,1,1,3.4353570713179877,0,0
137070,1137070,camara,Vicentinho Júnior,M,PL,TO,Titular,1,1,6.356871444938633,0,0
178992,1178992,camara,Vitor Lippi,M,PSDB,SP,Titular,1,1,3.790341678267314,0,0
178952,1178952,camara,Walter Alves,M,MDB,RN,Titular,1,1,4.746027958339811,0,0
178889,1178889,camara,Zé Carlos,M,PT,MA,Titular,1,1,-4.737840465481652,2,0.05626780626780627
5529,25529,senado,Antonio Anastasia,M,PSD,MG,Titular,1,1,3.4645692607818273,0,0
3830,23830,senado,Davi Alcolumbre,M,DEM,AP,Titular,1,1,-1.4227157360568707,0,0
5537,25537,senado,Dário Berger,M,MDB,SC,Titular,1,1,-1.9873002252207854,0,0
5531,25531,senado,Elmano Férrer,M,PODEMOS,PI,Titular,1,1,5.569303275652333,0,0
5540,25540,senado,Fernando Bezerra Coelho,M,MDB,PE,Titular,1,1,8.987401324944308,0,0
5533,25533,senado,Lasier Martins,M,PODEMOS,RS,Titular,1,1,-1.7671600887602974,0,0
5525,25525,senado,Omar Aziz,M,PSD,AM,Titular,1,1,-0.6672919026601036,0,0
5523,25523,senado,Otto Alencar,M,PSD,BA,Titular,1,1,-4.574315069148998,0,0
374,2374,senado,Paulo Rocha,M,PT,PA,Titular,1,1,-9.877485918562256,0,0
5236,25236,senado,Reguffe,M,PODEMOS,DF,Titular,1,1,-5.230989093333466,0,0
677,2677,senado,Roberto Rocha,M,PSDB,MA,Titular,1,1,2.9671775893541135,0,0
5322,25322,senado,Romário,M,PODEMOS,RJ,Titular,1,1,0.8831273841144345,0,0
2331,22331,senado,Rose de Freitas,F,PODEMOS,ES,Titular,1,1,-2.362481656377085,0,0
5527,25527,senado,Simone Tebet,F,MDB,MS,Titular,1,1,1.3062755676367246,0,0
5535,25535,senado,Telmário Mota,M,PROS,RR,Titular,1,1,5.796449784529576,0,0
1173,21173,senado,Wellington Fagundes,M,PL,MT,Titular,1,1,-0.1420820224852175,0,0
204554,1204554,camara,Abílio Santana,M,PL,BA,Titular,1,1,5.177588942952703,0,0
