Proposições;Ementa;Classificação Bruno;Autor;UF;Partido;Apresentação;Situação;Link;Norma Atacada;Norma atacada foi emitida no Governo Bolsonaro?;Norma parcial ou integralmente atacada;Dispositivos atacados (para parciais);Dentro do escopo do relatório?;;;;;;;;;;;;
PDL 519/2020;Susta a Portaria Conjunta nº 1, da Secretaria Especial de Assuntos Fundiários do Ministério da agricultura, Pecuária e Abastecimento e do Instituto Nacional de Colonização e Reforma Agrária (INCRA), de 2 de dezembro de 2020, que “Institui o Programa Titula Brasil e dispõe sobre seus objetivos e forma de implementação”.;Agropecuária;Alessandro Molon;RJ;PSB;12/04/2020;Aguardando Despacho do Presidente da Câmara dos Deputados;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2266103;Portaria Conjunta nº 1, da Secretaria Especial de Assuntos Fundiários do Ministério da agricultura, Pecuária e Abastecimento e do Instituto Nacional de Colonização e Reforma Agrária (INCRA), de 2 de dezembro de 2020;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 520/2020;Susta os efeitos da Portaria Conjunta nº 1, de 2 de dezembro de 2020 que “Institui o Programa Titula Brasil e dispõe sobre seus objetivos e forma de implementação”.;Meio Ambiente;João Daniel;SE;PT;12/04/2020;Aguardando Despacho do Presidente da Câmara dos Deputados. Será apensado ao PDL 519/2020;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2266108;Portaria Conjunta nº 1, da Secretaria Especial de Assuntos Fundiários do Ministério da agricultura, Pecuária e Abastecimento e do Instituto Nacional de Colonização e Reforma Agrária (INCRA), de 2 de dezembro de 2020;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 187/2020;Susta a Instrução Normativa nº 9, de 16 de abril de 2020, do Ministério da Justiça/Fundação Nacional do Índio, que “Disciplina o requerimento, análise e emissão da Declaração de Reconhecimento de Limites em relação a imóveis privados.”;Indígenas;Senador Randolfe Rodrigues ;AP;REDE;30/04/2020;30/04/2020 - Secretaria de Atas e Diários;https://www25.senado.leg.br/web/atividade/materias/-/materia/141764;Instrução Normativa nº 9, de 16 de abril de 2020, do Ministério da Justiça/Fundação Nacional do Índio;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 356/2020;Susta os efeitos da Portaria nº 341, de 30 de julho de 2020, do Ministro de Estado do Meio ambiente, que aprova o Regimento Interno da Comissão Executiva para Controle do Desmatamento Ilegal e Recuperação da Vegetação Nativa - CONAVEG, instituída pelo Decreto nº 10.142, de 28 de novembro de 2019.;Meio Ambiente;José Guimarães;CE;PT;08/05/2020;Aguardando Autorização Devolução;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2259427;Portaria nº 341, de 30 de julho de 2020, do Ministro de Estado do Meio ambiente;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 718/2019;"Susta a Portaria Interministerial Mdic - MMA nº 79, de 29 de dezembro de 2017, que ""Revoga a Instrução Normativa ibama nº 129, de 30 de outubro de 2006"".";Meio Ambiente;Raimundo Costa;BA;PL;12/03/2019;Aguardando Designação de Relator;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2231622;Portaria Interministerial Mdic - MMA nº 79, de 29 de dezembro de 2017;Não;Integral;N/A;Não;;;;;;;;;;;;
PDL 439/2020;Susta as decisões da Reunião Ordinária n° 135 do Conselho Nacional do Meio Ambiente (conama), que alterou a Resolução conama n.º 264/1999, e revogou as Resoluções conama n.ºs 284/2001, 302/2002 e 303/2002.;Meio Ambiente;"Rodrigo Agostinho;Professor Israel Batista;Erika Kokay;Nilto Tatto;Patrus Ananias;João H. Campos;Camilo Capiberibe;Rafael Motta;Vilson da Fetaemg;Professora Rosa Neide;Ted Conti;Jorge Solla;Marcelo Freixo;Gonzaga Patriota;Júlio Delgado;Joenia Wapichana;Frei Anastacio Ribeiro;Túlio Gadêlha;Enio Verri;Tadeu Alencar;Carlos Veras;Reginaldo Lopes;Paulo Teixeira;Luiza Erundina;Sâmia Bomfim;Edmilson Rodrigues;Célio Studart;Bira do Pindaré;Danilo Cabral";"SP;DF;DF;SP;MG;PE;AP;RN;MG;MT;ES;BA;RJ;PE;MG;RR;PB;PE;PR;PE;PE;MG;SP;SP;SP;PA;CE;MA;PE";"PSB;PV;PT;PT;PT;PSB;PSB;PSB;PSB;PT;PSB;PT;PSOL;PSB;PSB;REDE;PT;PDT;PT;PSB;PT;PT;PT;PSOL;PSOL;PSOL;PV;PSB;PSB";10/05/2020;Aguardando Despacho do Presidente da Câmara dos Deputados. Será apensado ao PDL 414/2020;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2263777;Decisões da Reunião Ordinária n° 135 do Conselho Nacional do Meio Ambiente (conama), que alterou a Resolução conama n.º 264/1999, e revogou as Resoluções conama n.ºs 284/2001, 302/2002 e 303/2002.;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 226/2020;Susta o Decreto n° 10.347, de 13 de maio de 2020, que dispõe sobre as competências para a concessão de florestas públicas, em âmbito federal.;Meio ambiente;Senador Rogério Carvalho ;SE;PT;15/05/2020;15/05/2020 - Secretaria de Atas e Diários;https://www25.senado.leg.br/web/atividade/materias/-/materia/141968;Decreto n° 10.347, de 13 de maio de 2020;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 32/2020;Susta os efeitos do Decreto n.º 10.224, de 5 de fevereiro de 2020, que regulamenta a Lei nº 7.797, de 10 de julho de 1989, que cria o Fundo Nacional do Meio ambiente.;Meio Ambiente;Rodrigo Agostinho;SP;PSB;02/06/2020;Tramitando em Conjunto - Apensado ao PDL 28/2020;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2236840;Decreto n.º 10.224, de 5 de fevereiro de 2020;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 28/2020;Susta os efeitos do Decreto nº 10.224, de 2020, regulamenta a Lei nº 7.797, de 10 de julho de 1989, que cria o Fundo Nacional do Meio ambiente.;Meio Ambiente;Jandira Feghali;RJ;PCdoB;02/06/2020;Aguardando Designação de Relator;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2236761;Decreto nº 10.224, de 05 de fevereiro de 2020;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 359/2020;Susta os efeitos do Decreto nº 10.142, de 28 de novembro de 2019, que institui a Comissão Executiva para Controle do Desmatamento Ilegal e Recuperação da Vegetação Nativa.;Meio Ambiente;José Guimarães;CE;PT;08/06/2020;Aguardando Autorização Devolução;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2259673;Decreto nº 10.142, de 28 de novembro de 2019;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 360/2020;“Susta a Portaria 341, de 30 de julho de 2020 – do Ministério do Meio ambiente - que “Aprova o Regimento Interno da Comissão Executiva para Controle do Desmatamento Ilegal e Recuperação da Vegetação Nativa - CONAVEG, instituída pelo Decreto nº 10.142, de 28 de novembro de 2019 e parcialmente os efeitos do Decreto nº 10.142, de 28 de novembro de 2019, que “institui a Comissão Executiva para Controle do Desmatamento Ilegal e Recuperação da Vegetação Nativa.”;Meio Ambiente;Nereu Crispim;RS;PSL;08/06/2020;Aguardando Autorização Devolução;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2259680;Portaria 341, de 30 de julho de 2020 – do Ministério do Meio ambiente;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 361/2020;"Sustam os efeitos da Resolução CPPI nº 126, de 10 de junho de 2020, Publicado no Diário Oficial da União em 04/08/2020 que “Opina pela criação e qualificação da Política de Apoio ao Licenciamento Ambiental de Projetos de Investimentos para a Produção de Minerais Estratégicos - ""Pró-Minerais Estratégicos"", no âmbito do Programa de Parcerias de Investimentos - PPI.”";Mineração;"João Daniel;Célio Moura;Nilto Tatto;Patrus Ananias;Valmir Assunção;Marcon;Frei Anastacio Ribeiro;Airton Faleiro";"SE;TO;SP;MG;BA;RS;PB;PA";"PT;PT;PT;PT;PT;PT;PT;PT";08/06/2020;Aguardando Autorização Devolução;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2259684;Resolução CPPI nº 126, de 10 de junho de 2020;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 528/2020;Susta os efeitos da Portaria Conjunta nº 1, de 02 de dezembro de 2020, que institui o Programa Titula Brasil e dispõe sobre seus objetivos e formas de implementação.;Meio Ambiente;"Sâmia Bomfim;David Miranda;Marcelo Freixo;Talíria Petrone;Edmilson Rodrigues;Glauber Braga;Ivan Valente;Fernanda Melchionna;Luiza Erundina;Áurea Carolina";"SP;RJ;RJ;RJ;PA;RJ;SP;RS;SP;MG";"PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL";12/08/2020;Aguardando Despacho do Presidente da Câmara dos Deputados. Será apensado ao PDL 519/2020;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2266316;Portaria Conjunta nº 1, da Secretaria Especial de Assuntos Fundiários do Ministério da agricultura, Pecuária e Abastecimento e do Instituto Nacional de Colonização e Reforma Agrária (INCRA), de 2 de dezembro de 2020;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 526/2020;Sustam a Portaria Conjunta nº 1, de 2 de dezembro de 2020, ue institui o Programa Titula Brasil e dispõe sobre seus objetivos e formas de implementação, e a Portaria n.º 26, de 4 de dezembro de 2020.;Meio Ambiente;Rodrigo Agostinho;SP;PSB;12/08/2020;Aguardando Despacho do Presidente da Câmara dos Deputados. Será apensado ao PDL 519/2020;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2266284;Portaria Conjunta nº 1, da Secretaria Especial de Assuntos Fundiários do Ministério da agricultura, Pecuária e Abastecimento e do Instituto Nacional de Colonização e Reforma Agrária (INCRA), de 2 de dezembro de 2020;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 418/2020;Susta a Resolução do CONAMA – Conselho Nacional do Meio Ambiente, que revoga as Resoluções CONAMA 284/2001, 302/2002 e 303/2002.;Meio Ambiente;Senador Jaques Wagner, Senador Rogério Carvalho, Senador Humberto Costa, Senador Paulo Rocha;"BA; SE; PE; PA";"PT; PT; PT; PT";28/09/2020;29/09/2020 - Plenário do Senado Federal (Secretaria Legislativa do Senado Federal);https://www25.senado.leg.br/web/atividade/materias/-/materia/144966;Resolução no 500, de 28 de setembro de 2020, do Conselho Nacional do Meio Ambiente – CONAMA.;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 33/2020;Susta, nos termos do art. 49, V, da Constituição Federal, a aplicacão do Decreto nº 10.224, de 5 de fevereiro de 2020, que regulamenta a Lei nº 7.797, de 10 de julho de 1989, que cria o Fundo Nacional do Meio ambiente.;Meio Ambiente;Tabata Amaral;SP;PDT;02/11/2020;Tramitando em Conjunto - Apensado ao PDL 28/2020;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2236893;Decreto nº 10.224, de 05 de fevereiro de 2020;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 41/2020;Susta o Decreto 10.224, de 5 de fevereiro de 2020, que regulamenta a Lei nº 7.797, de 10 de julho de 1989, que cria o Fundo Nacional do Meio ambiente.;Meio Ambiente;Célio Studart;CE;PV;02/11/2020;Tramitando em Conjunto - Apensado ao PDL 28/2020;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2236958;Decreto nº 10.224, de 5 de fevereiro de 2020;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 39/2020;Susta os efeitos do Decreto n.º 10.224, de 5 de fevereiro de 2020, que esvazia a participação da sociedade civil no Fundo Nacional do Meio ambiente (FNMA);Meio Ambiente;Fernanda Melchionna;RS;PSOL;02/11/2020;Tramitando em Conjunto - Apensado ao PDL 28/2020;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2236932;Decreto nº 10.224, de 5 de fevereiro de 2020;Sim;Integral;N/A;Sim;;;;;;;;;;;;
PDL 206/2020;Susta, nos termos do art. 49, inciso V, da Constituição Federal, os efeitos do parágrafo único do art. 4º do Decreto nº 10.341 de 06 de maio de 2020, que “autoriza o emprego das Forças Armadas na Garantia da Lei e da Ordem e em ações subsidiárias na faixa de fronteira, nas terras indígenas, nas unidades federais de conservação ambiental e em outras áreas federais nos Estados da Amazônia Legal”.;Indígenas;Tabata Amaral;SP;PDT;05/11/2020;Aguardando Autorização do Despacho;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2252113;Decreto nº 10.341, de 06 de maio de 2020;Sim;Parcial; Art. 4º, parágrafo único;Sim;;;;;;;;;;;;
