id_ext,sigla_tipo,numero,ementa,data_apresentacao,casa,casa_origem,autor_nome,autor_uf,autor_partido,regime_tramitacao,forma_apreciacao,relator_id,relator_id_parlametria,id_leggo,status
135801,PL,1553,"Altera a Lei Nº 9.985, de 18 de julho de 2000, para dispor sobre os critérios de criação de unidades de conservação.",2019-03-19T00:00:00Z,senado,senado,Marcio Bittar MDB / AC,NA,NA,Ordinária,Plenário,6027,26027,9bf8748d316c4477868db3932db87f60,Ativa
135796,PLP,71,"Altera o art. 14 da Lei Complementar Nº 140, de 8 de dezembro de 2011, para dispor sobre os prazos estabelecidos para tramitação dos processos de licenciamento ambiental.",2019-03-19T00:00:00Z,senado,senado,Marcio Bittar MDB / AC,NA,NA,Ordinária,Plenário,5982,25982,fedcd6759fc40f3fb0968e8024baf121,Ativa
135799,PL,1551,"Revoga o Capítulo IV – Da Reserva Legal, da Lei Nº 12.651, de 25 de maio de 2012, que dispõe sobre a proteção da vegetação nativa, para garantir o direito constitucional de propriedade.",2019-03-19T00:00:00Z,senado,senado,Marcio Bittar MDB / AC,NA,NA,Ordinária,Plenário,5953,25953,0aae05928abb6a83a51cbfd42d935b69,Ativa
135948,PL,1731,"Altera a Lei nº 12.651, de 25 de maio de 2012, que dispõe sobre a proteção da vegetação nativa e dá outras providências, para tratar de regras sobre a ocupação de Áreas de Preservação Permanente (APP).",2019-03-26T00:00:00Z,senado,senado,Luis Carlos Heinze PP / RS,NA,NA,Ordinária,Plenário,374,2374,1973c4b6e45af8a78f781b41ddaf3987,Ativa
136371,PL,2362,"Revoga o Capítulo IV - Da Reserva Legal, da Lei nº 12.651, de 25 de maio de 2012, que dispõe  sobre a proteção da vegetação nativa, para garantir o direito constitucional de propriedade.",2019-04-16T00:00:00Z,senado,senado,Flávio Bolsonaro PSL / RJ e outros,NA,NA,Ordinária,Plenário,677,2677,b8b7b29c9cec9e90d28283d2e14e674d,Ativa
137294,PL,3511,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental (PRA) e o Cadastro Ambiental Rural (CAR).",2019-06-12T00:00:00Z,senado,senado,Luis Carlos Heinze PP / RS,NA,NA,Ordinária,Plenário,4560,24560,4aa48de07ffa76e8eeed3a75c25034a3,Ativa
137486,PL,3791,"Institui a Política Nacional de Pagamento por Serviços Ambientais - PNPSA, e altera as Leis nº 6.938, de 31 de agosto de 1981, nº 8.212, de 24 de julho de 1991, nº 8.666, de 21 de junho de 1993, nº 7.797, de 10 de julho de 1989, e nº 12.114, de 9 de dezembro de 2009.",2019-07-01T00:00:00Z,senado,senado,Styvenson Valentim PODEMOS / RN,NA,NA,Ordinária,Plenário,4981,24981,17616f03d63d1c483336c7b232f057c2,Ativa
138725,PL,5028,"Institui a Política Nacional de Pagamento por Serviços Ambientais; altera as Leis nºs 8.629, de 25 de fevereiro de 1993, e 8.212, de 24 de julho de 1991; e dá outras providências.",2019-09-05T00:00:00Z,senado,camara,Câmara dos Deputados  ,NA,NA,Ordinária,Plenário,5953,25953,24b766dcc54aa7470ca7e402eee1a33a,Ativa
138812,PL,5079,"Altera a Lei n° 12.351, de 22 de dezembro de 2010, para estabelecer a aplicação obrigatória de parcela dos recursos do Fundo Social na conservação florestal da Amazônia Legal.",2019-09-17T00:00:00Z,senado,senado,Jorge Kajuru CIDADANIA / GO,NA,NA,Ordinária,Plenário,5982,25982,a534d78618d3fa7d51ebb1fed82e7395,Ativa
139066,PL,5315,"Altera a Lei nº 12.651, de 25 de maio de 2012, que dispõe sobre a proteção da vegetação nativa, e a Lei nº 9.605, de 12 de fevereiro de 1998, que dispõe sobre as sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente, a fim de exigir prévia autorização do Congresso Nacional para corte e supressão de vegetação de Floresta Amazônica primária e secundária em estado avançado de regeneração, exceto nas hipóteses especificadas, bem como tipificar novo crime ambiental relacionado ao corte raso desse tipo de vegetação.",2019-10-01T00:00:00Z,senado,senado,Alessandro Vieira CIDADANIA / SE,NA,NA,Ordinária,Plenário,5627,25627,86d5c2c186312f2c2fcaaff1f00b226c,Ativa
139054,PL,5283,"Altera a Lei 11.284, de 2 de março de 2006, para permitir a unificação operacional de contratos de concessão florestal e dá outras providências.",2019-10-01T00:00:00Z,senado,senado,Sérgio Petecão PSD / AC,NA,NA,Ordinária,Plenário,285,2285,1af82e91b2c98778f90d7cf2ce4220e1,Ativa
139361,PL,5522,"Altera as Leis nº 9.478, de 6 de agosto de 1997, e nº 12.351, de 22 de dezembro de 2010, para proibir a exploração de petróleo e gás natural em unidades de conservação e em áreas prioritárias para conservação da biodiversidade na zona costeira.",2019-10-15T00:00:00Z,senado,senado,Rose de Freitas PODEMOS / ES,NA,NA,Ordinária,Plenário,5718,25718,ddcf29758528b140118b6054030a025e,Ativa
139527,PL,5624,"Altera a Lei nº 9.985, de 18 de julho de 2000, para dispor sobre critérios de criação, ampliação, desafetação, transformação ou redução dos limites das unidades de conservação, e de homologação da demarcação de terras indígenas.",2019-10-23T00:00:00Z,senado,senado,Zequinha Marinho PSC / PA,NA,NA,Ordinária,Plenário,5953,25953,b4b7bb2ce226e8d5c143a3b0df65bb0f,Ativa
139916,PEC,202,Altera os arts. 49 e 225 da Constituição Federal para que o Congresso Nacional decida previamente sobre o corte e a supressão de vegetação da Floresta Amazônica.,2019-11-25T00:00:00Z,senado,senado,Alessandro Vieira CIDADANIA / SE e outros,NA,NA,Ordinária,Plenário,5012,25012,1865182af6d37f87234698314e7cbf89,Ativa
