GW x geral,Pos/Neg/Neutro para o ambientalismo,id,sigla_tipo,numero,ano,ementa,votada_plenario,cod_tipo,casa,tema,autor,link
,,2262831,PL,4555,2020,Dispõe sobre a suspensão de pagamento de financiamentos relacionados à atividade pecuária em virtude da seca e dos incêndios na Região Pantaneira dos estados do Mato Grosso e Mato Grosso do Sul.,0,139,camara,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",Dagoberto Nogueira,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2262831
,,2262837,PDL,399,2020,"Susta a Resolução nº 8, de 18 de agosto de 2020, do Conselho Nacional de Política Energética  - CNPE.",0,550,camara,Meio Ambiente e Desenvolvimento Sustentável,Alessandro Molon,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2262837
,,2262905,PL,4583,2020,Institui fundo destinado ao pagamento de indenizações a pecuaristas que tiverem animais de sua criação sacrificados por questões sanitárias e a apoiar ações emergenciais de defesa sanitária animal.,0,139,camara,"Agricultura, Pecuária, Pesca e Extrativismo",Jerônimo Goergen,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2262905
,,2262925,PL,4593,2020,"Altera a Lei nº 9.394, de 20 de dezembro de 1996, que estabelece as diretrizes e bases da educação nacional, para incluir no currículo oficial da Rede de Ensino primária a obrigatoriedade da temática “Educação em Direito dos Animais”.",0,139,camara,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart; Ricardo Izar,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2262925
,,2262928,PL,4595,2020,"Dispõe sobre a adoção dos Objetivos de Desenvolvimento Sustentável da Organização das Nações Unidas, por parte das entidades que recebem verbas públicas.",0,139,camara,Meio Ambiente e Desenvolvimento Sustentável,Ney Leprevost,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2262928
,,2262966,PL,4614,2020,Dispõe sobre medidas emergenciais para a regularização da oferta de alimentos da dieta básica da população brasileira e dá outras providências.,0,139,camara,"Agricultura, Pecuária, Pesca e Extrativismo",Afonso Florence; Airton Faleiro; Alencar Santana Braga; Alexandre Padilha; Arlindo Chinaglia; Benedita da Silva; Beto Faro; Bohn Gass; Carlos Veras; Célio Moura; Enio Verri; Erika Kokay; Frei Anastacio Ribeiro; Gleisi Hoffmann; Helder Salomão; Henrique Fontana; João Daniel; Jorge Solla; José Airton Félix Cirilo; José Guimarães; José Ricardo; Leonardo Monteiro; Luizianne Lins; Marcon; Margarida Salomão; Maria do Rosário; Marília Arraes; Merlong Solano; Natália Bonavides; Nilto Tatto; Odair Cunha; Padre João; Patrus Ananias; Paulão; Paulo Guedes; Paulo Pimenta; Paulo Teixeira; Pedro Uczai; Professora Rosa Neide; Reginaldo Lopes; Rejane Dias; Rogério Correia; Rubens Otoni; Rui Falcão; Valmir Assunção; Vander Loubet; Vicentinho; Waldenor Pereira; Zé Carlos; Zeca Dirceu,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2262966
,,2263001,PL,4619,2020,"Dispõe sobre normas preventivas ao esquecimento de crianças e animais no interior de veículos, conforme especifica.",0,139,camara,Meio Ambiente e Desenvolvimento Sustentável,Ney Leprevost,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263001
,,2263011,PL,4624,2020,"Altera a Lei nº 5.524, de 5 de novembro de 1968, que “dispõe sobre o exercício da profissão de Técnico Industrial de nível médio”, para atualizar os valores relativos à responsabilidade técnica na elaboração de projetos.",0,139,camara,"Agricultura, Pecuária, Pesca e Extrativismo",Evair Vieira de Melo,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263011
,,2263047,PL,4648,2020,"Altera o art. 3º, incisos IV e XXIV, da Lei nº 12.651, de 25 de maio de 2012, que dispõe sobre a proteção da vegetação nativa.",0,139,camara,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",Jaqueline Cassol,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263047
,,2263061,PL,4651,2020,"Dispõe sobre a Receita Médica Digital, e dá outras providências.",0,139,camara,"Agricultura, Pecuária, Pesca e Extrativismo",Alê Silva,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263061
,,2263069,PL,4655,2020,"Altera a Lei nº 9.605, de 1998, para limitar o valor da multa ambiental, nas condições que especifica.",0,139,camara,Meio Ambiente e Desenvolvimento Sustentável,Nelson Barbudo,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263069
,,2263079,PL,4658,2020,Institui a política ambiental de recomposição florestal em áreas degradadas em todos os biomas brasileiros.,0,139,camara,Meio Ambiente e Desenvolvimento Sustentável,Júlio Delgado,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263079
